,1-Core Naïve MC_NDFS ,16-Core Naïve MC_NDFS ,MC_GC_NDFS,MC_AR_NDFS,MC_RS_NDFS,NC_NEW_NDFS
FALSE,421.6,475,505.8,250,479.6,247.8
FALSE,721.4,813.8,863,431.4,828.6,426.6
FALSE,286,321.2,336.6,169.2,324,167.6
FALSE,9.8,11.6,9,5.4,8.4,5
FALSE,55.2,62.8,63.6,32.6,60.4,31.8
FALSE,414,448.6,504.6,233.6,453.6,235.2
FALSE,734.6,819.6,857.6,429.2,828.6,428.8
FALSE,745.2,834.2,875.4,439.8,848.6,437.4
FALSE,739.2,837.6,870.2,442,846.6,437
FALSE,410.2,460.6,492,242.8,466,240.8
FALSE,53.6,61.6,66,31,59.4,31
FALSE,605.4,672.4,701.6,354,680.4,351.6
FALSE,596.2,673.4,704.4,349.8,681.8,351
FALSE,461.4,521.8,546,273.2,528.2,271.8
FALSE,595.4,672.4,694.8,353.6,682,350.2
FALSE,352.4,400,418.4,210.4,402.2,208.2
FALSE,72.6,81.4,83.2,42,79.6,42
FALSE,651.6,731,781.6,383.2,740,381
FALSE,253,285,295.4,149.4,286.8,148.6
FALSE,24,26.8,26.2,13,25.6,13
FALSE,525,591.4,611,311.4,598.4,309.4
FALSE,248.4,282,312.2,149,283.6,147.6
FALSE,668.8,746.4,784,393,755.4,389.2
FALSE,482.8,526.8,549,278,532.8,275.2
FALSE,550.8,622,651.8,328.8,630.4,325.8
FALSE,539.2,608.8,628.8,317.8,614.6,317
FALSE,513.6,577,630.6,304.8,583.6,302.6
FALSE,448.6,503.6,523.2,265.6,511.4,263.6
FALSE,56.2,63.2,64.8,33.4,62.2,33.2
FALSE,652,727.6,788.2,383.4,736.4,379.2
FALSE,394.6,444.6,462.6,234.8,449.8,232.2
FALSE,209.8,234.6,244.4,123.8,236.4,122.8
FALSE,603.6,671.6,708,352,679,350.2
FALSE,511.2,568.8,610.4,299.2,575.6,297.2
FALSE,680.2,771.8,800.6,406.2,780,404.2
FALSE,573.6,627,674.4,324.4,634.4,327.4
FALSE,505.8,559.4,598.2,294.2,567.8,291.8
FALSE,310.6,350.6,378.8,182.4,351,181.8
FALSE,17.4,20.8,18,9.2,17,9
FALSE,94.2,107.4,116.6,54.8,105,54.8
FALSE,26.8,30.4,29.8,14.8,27.8,15
FALSE,561.8,633.2,657.6,333.6,642.6,331.2
FALSE,165.6,189.6,210.4,99.2,187,97.6
FALSE,446.2,503.4,530.2,264.2,507.6,264.4
FALSE,534.4,602.8,630.6,316.2,608.8,315.8
FALSE,737.8,833.6,868,438.6,843.2,436
FALSE,325.8,366.4,394.2,192.4,371.6,191.6
FALSE,33.4,37.8,36.8,18.6,34.6,18.8
FALSE,347.6,390.6,432,203.4,395.6,203.6
FALSE,747.2,820.2,882.6,425.4,829,427.8
FALSE,609,691.6,719.2,362.8,696.8,360.6
FALSE,311.2,351,368.6,184.6,353.4,182.6
FALSE,178.6,201.4,208.6,106.8,201.6,104.6
FALSE,485,547,565.8,288,554.4,286.4
FALSE,663.6,747.2,770.2,392.6,756.2,390
FALSE,357.8,403.6,419.2,213,408.6,208
FALSE,210.8,240.6,276.6,124.6,240.4,124.4
FALSE,386.6,432.6,453.4,224.8,435.2,224.4
FALSE,533,606.8,628.6,316.6,611.8,315.2
FALSE,522.2,590.6,655.2,312.8,596.8,307.6
FALSE,653.2,741.2,771.6,389.8,746.8,386.4
FALSE,574.8,639.6,674.8,336.6,649.2,333
FALSE,737.8,837,869,442.2,846,436.2
FALSE,643,722.4,745.4,383.8,731,377.8
FALSE,188.4,215,230.8,112.2,213.2,110.6
FALSE,214.2,241.4,250.2,127.2,242.2,127
FALSE,651.8,735,768.4,384,743.2,382.4
FALSE,236.8,268.4,293.8,140.4,269,139
FALSE,367.8,409.6,425.8,211.6,414.2,213.2
FALSE,52.2,57.4,73.2,29.4,56.2,28.8
FALSE,543.8,613.2,639.2,322.6,622.4,321
FALSE,407.8,456.8,472,239.6,463,238.2
FALSE,48.4,56,53.4,26.8,52,26.6
FALSE,440.8,499.8,519.6,262,504.8,259.6
FALSE,28.8,34.2,31.8,16,29.8,16
FALSE,22.4,26.2,23.8,12,22.6,12
FALSE,13.2,16,13.4,6.6,12.2,6.8
FALSE,464.4,523.4,567.8,280.4,532.4,277.6
FALSE,695.6,782,833,411.4,792.4,408
FALSE,295.6,333.6,350.4,177.2,339.8,175
FALSE,654.2,738.8,819.8,388.6,748.4,386.4
FALSE,673,764.2,831.2,402,770.4,397.2
FALSE,705.2,800.4,831.8,420.6,809.6,417.6
FALSE,67.4,73,83.6,38,73.4,37.6
FALSE,238,268.8,280,141,270.6,140.4
FALSE,644.2,728.4,759.2,383.4,737,378
FALSE,172.8,198.4,205.8,103,195.4,101.6
FALSE,536.6,608.2,652.8,318.6,612.8,317.6
FALSE,37.8,42.6,47.4,21.4,40.4,20.8
FALSE,109.6,123.2,137.4,66,123.2,65
FALSE,438.2,496.6,537.2,259.4,500.6,257.8
FALSE,513.4,574.4,588.2,300.2,576.2,298.2
FALSE,24.8,29,29.2,13.4,25,13.4
FALSE,267.8,301.8,314.2,159.4,307.2,158.2
FALSE,567.4,641.4,661,337.2,648,334.4
FALSE,16.2,18.8,16.4,8,15.6,8.2
FALSE,34.2,36.6,37.4,20.2,36.8,18.4
FALSE,643.6,731.6,825,385.8,737.6,381
FALSE,340.4,386.6,406.6,200,388.8,201.8
FALSE,546.2,615.6,651,322.2,623,322.6
FALSE,689.6,780.6,864.4,410,790.6,407.4
